ID_Venta;Fecha;País;Ciudad;Cliente;Producto;Categoría;Cantidad;Precio_Unitario;Monto_Total;Medio_Envio;Estado_Envio
0001;2024-12-29;Venezuela;Caracas;Ana Pérez;Escritorio;Muebles;4;66.74;266.96;Aéreo;Cancelado
0002;2024-09-05;Bolivia;Cochabamba;Pedro Sánchez;Teclado;Accesorios;1;1176.02;1176.02;Aéreo;Entregado
0003;2024-10-26;Argentina;Buenos Aires;Pedro García;Auriculares;Accesorios;4;1137.66;4550.64;Marítimo;En tránsito
0004;2024-03-04;Argentina;Córdoba;Carlos García;Silla ergonómica;Muebles;5;438.93;2194.65;Marítimo;Cancelado
0005;2024-08-13;Colombia;Bogotá;Pedro Sánchez;Impresora;Oficina;1;426.22;426.22;Marítimo;Pendiente
0006;2024-07-21;Uruguay;Montevideo;Pedro Pérez;Monitor;Electrónica;1;543.34;543.34;Marítimo;Pendiente
0007;2024-09-19;Brasil;São Paulo;Lucía López;Celular;Electrónica;1;126.52;126.52;Terrestre;Pendiente
0008;2024-12-17;Chile;Valparaíso;Laura Rodríguez;Celular;Electrónica;4;972.58;3890.32;Marítimo;Cancelado
0009;2024-08-02;Paraguay;Ciudad del Este;Pedro Martínez;Tablet;Electrónica;1;67.11;67.11;Marítimo;Pendiente
0010;2024-06-19;Brasil;São Paulo;María Martínez;Auriculares;Accesorios;1;66.48;66.48;Aéreo;Entregado
0011;2025-02-14;Paraguay;Ciudad del Este;Juan García;Laptop;Electrónica;2;1167.91;2335.82;Terrestre;Pendiente
0012;2025-03-26;Colombia;Bogotá;María Martínez;Silla ergonómica;Muebles;4;279.24;1116.96;Marítimo;En tránsito
0013;2024-10-31;Venezuela;Maracaibo;Laura Pérez;Laptop;Electrónica;4;253.73;1014.92;Aéreo;En tránsito
0014;2024-06-14;Brasil;Rio de Janeiro;Carlos López;Impresora;Oficina;1;92.41;92.41;Aéreo;En tránsito
0015;2024-07-07;Brasil;Rio de Janeiro;Juan Martínez;Celular;Electrónica;1;787.97;787.97;Aéreo;Cancelado
0016;2024-10-27;Brasil;Brasília;Juan Sánchez;Celular;Electrónica;1;982.18;982.18;Aéreo;Cancelado
0017;2024-05-23;Bolivia;Santa Cruz;Laura Rodríguez;Monitor;Electrónica;2;277.64;555.28;Aéreo;Entregado
0018;2024-06-23;Perú;Arequipa;Laura Rodríguez;Tablet;Electrónica;3;734.62;2203.86;Aéreo;Cancelado
